case_type,number_of_hearings,judge_workload,document_count,case_priority,filing_to_first_hearing_days,court_level,previous_adjournments,total_case_duration_days
criminal,2,58,7,low,35,district,3,489
tax,5,65,3,low,14,district,0,491
tax,5,50,4,medium,88,magistrate,0,335
labor,1,44,4,medium,22,high_court,2,939
labor,6,71,6,low,20,magistrate,2,164
criminal,4,27,7,low,12,district,2,633
family,3,77,8,high,15,high_court,0,911
criminal,1,56,3,low,29,district,1,580
civil,2,55,5,low,116,district,0,505
family,4,54,5,medium,42,magistrate,1,216
labor,6,27,2,low,43,district,0,536
tax,5,47,1,low,16,magistrate,0,293
criminal,3,47,4,low,28,high_court,2,827
civil,2,47,5,low,2,district,2,419
criminal,5,70,5,medium,2,magistrate,2,325
civil,7,40,2,low,19,district,1,496
civil,5,47,6,medium,78,magistrate,0,157
civil,2,50,10,medium,3,district,1,427
civil,4,52,8,low,10,district,1,452
civil,1,21,6,low,86,district,0,247
criminal,5,61,5,low,0,supreme,2,1557
criminal,4,51,4,low,47,magistrate,1,304
civil,4,58,5,medium,4,magistrate,1,168
criminal,2,54,3,low,13,magistrate,2,259
family,5,4,8,medium,13,district,0,345
criminal,4,45,3,low,45,magistrate,2,364
criminal,5,26,5,medium,73,magistrate,0,359
civil,7,41,4,low,43,supreme,1,1313
civil,2,82,6,low,9,magistrate,2,342
civil,4,60,4,high,31,district,3,540
civil,6,43,7,medium,1,district,1,554
civil,2,42,3,low,32,district,0,324
civil,2,43,6,medium,28,district,3,470
family,5,47,4,low,27,magistrate,0,237
criminal,2,60,5,medium,30,magistrate,1,334
civil,5,12,8,low,9,high_court,1,573
civil,6,33,5,low,23,district,0,356
family,8,32,5,low,10,magistrate,1,269
criminal,6,65,3,low,26,magistrate,0,249
family,4,63,5,medium,16,district,2,526
family,5,24,6,low,5,magistrate,1,243
civil,2,63,2,high,71,district,3,676
civil,3,41,8,medium,8,magistrate,1,189
civil,1,46,5,low,4,district,1,350
family,5,61,4,high,43,magistrate,2,479
civil,3,49,5,high,52,magistrate,1,342
criminal,2,42,5,low,0,magistrate,2,339
criminal,3,59,2,low,3,magistrate,0,249
civil,5,40,5,high,64,magistrate,1,275
criminal,4,57,6,medium,12,magistrate,2,445
tax,2,48,8,low,12,magistrate,3,380
civil,3,66,3,low,56,high_court,1,743
family,6,49,3,medium,7,magistrate,2,417
criminal,7,69,2,low,9,district,0,579
family,3,55,4,low,36,supreme,1,1037
labor,1,43,9,low,5,district,0,240
criminal,3,49,3,low,14,high_court,2,867
civil,2,47,3,low,5,district,2,461
labor,9,48,2,low,10,magistrate,1,343
civil,6,56,8,high,25,magistrate,1,354
civil,5,49,8,high,29,district,3,631
civil,4,53,4,low,71,supreme,0,1164
civil,3,35,7,low,2,magistrate,1,177
civil,5,51,1,low,24,district,0,345
criminal,3,38,7,low,12,magistrate,0,221
civil,3,85,3,low,6,district,2,513
civil,5,45,1,low,6,district,1,264
tax,5,75,5,low,24,district,2,745
family,4,49,9,low,37,magistrate,0,174
civil,3,57,5,low,36,district,1,432
civil,5,35,3,low,41,magistrate,2,253
labor,1,47,5,medium,16,high_court,1,857
criminal,5,35,3,low,7,supreme,1,1332
civil,4,73,6,medium,20,magistrate,0,362
criminal,6,43,5,low,59,magistrate,2,382
civil,3,66,5,high,9,high_court,1,831
family,1,34,5,medium,50,magistrate,1,150
civil,8,57,4,medium,5,magistrate,0,231
civil,2,52,2,high,32,magistrate,1,171
civil,5,37,11,low,3,high_court,0,714
criminal,6,70,7,medium,27,high_court,0,899
criminal,2,42,7,low,8,magistrate,1,155
civil,5,38,7,low,17,district,1,458
civil,4,71,6,low,18,high_court,0,731
civil,3,52,6,low,10,magistrate,0,306
civil,6,46,5,low,50,magistrate,1,331
civil,3,47,5,high,57,magistrate,0,235
tax,5,50,2,medium,10,magistrate,1,345
civil,3,15,3,low,6,magistrate,1,139
civil,4,64,4,low,0,magistrate,1,257
family,5,47,8,low,31,district,2,431
criminal,4,55,3,medium,8,district,1,532
tax,5,19,8,low,123,magistrate,2,490
family,3,48,6,low,24,magistrate,2,277
civil,3,54,5,low,88,supreme,2,1095
civil,6,44,6,low,2,magistrate,0,230
civil,3,43,1,low,1,supreme,2,1222
criminal,6,71,4,low,9,magistrate,1,136
family,3,69,7,high,19,district,0,499
civil,3,36,5,low,8,supreme,1,1107
civil,2,49,8,medium,4,district,0,345
civil,3,75,4,low,61,magistrate,2,71
civil,5,40,7,low,12,district,2,536
criminal,2,53,1,medium,43,district,0,536
tax,4,61,5,medium,7,district,0,479
criminal,8,52,2,medium,26,magistrate,1,272
labor,5,42,3,low,22,high_court,6,951
criminal,4,61,9,low,12,magistrate,0,337
civil,5,52,6,medium,2,magistrate,1,214
family,8,38,2,high,4,district,0,590
civil,3,69,6,low,0,magistrate,1,201
civil,2,73,10,medium,63,supreme,0,1161
family,3,58,3,low,24,magistrate,2,240
civil,4,58,11,low,45,magistrate,1,272
family,4,23,4,medium,13,district,0,422
criminal,4,27,4,medium,25,magistrate,2,170
criminal,4,56,8,low,2,district,0,358
criminal,4,68,5,low,2,magistrate,0,190
civil,5,32,3,low,5,district,2,629
tax,8,59,2,low,8,magistrate,2,354
criminal,4,54,7,medium,65,high_court,1,928
civil,1,43,9,low,16,district,2,544
civil,4,9,3,low,20,district,2,457
criminal,4,55,2,low,2,district,2,552
criminal,4,48,3,low,7,magistrate,1,163
family,3,67,5,low,4,magistrate,0,351
civil,6,45,3,low,6,magistrate,0,225
criminal,3,54,8,high,44,supreme,3,1875
criminal,6,52,6,low,0,district,0,539
criminal,4,48,3,low,28,district,1,447
family,5,55,5,medium,36,magistrate,1,286
labor,2,69,5,medium,12,magistrate,2,208
labor,5,32,6,high,12,magistrate,2,331
tax,4,62,3,low,0,magistrate,0,268
criminal,1,43,4,medium,14,district,1,532
criminal,3,42,7,low,15,magistrate,1,274
labor,6,33,5,low,44,magistrate,1,165
tax,4,40,6,medium,57,magistrate,1,201
criminal,2,46,8,high,22,high_court,0,1084
civil,4,41,6,low,39,supreme,2,1213
family,6,46,12,low,45,magistrate,1,244
civil,5,37,6,low,36,district,2,507
criminal,7,17,9,low,4,district,0,563
criminal,5,41,2,low,61,district,0,537
family,3,68,6,low,4,magistrate,0,122
criminal,2,84,5,low,1,district,0,532
criminal,4,67,4,low,22,high_court,2,759
civil,3,44,6,low,3,supreme,0,1203
civil,5,72,3,low,78,magistrate,2,394
civil,7,49,9,high,18,magistrate,2,353
family,3,23,7,low,17,magistrate,0,240
criminal,2,33,6,low,49,magistrate,1,189
criminal,3,40,8,medium,41,magistrate,2,227
criminal,5,66,3,low,6,magistrate,1,376
family,2,52,2,low,18,magistrate,2,280
tax,4,50,1,low,4,magistrate,0,199
civil,5,48,6,medium,21,district,3,519
civil,4,50,6,medium,19,magistrate,0,147
civil,3,23,4,low,37,high_court,2,578
criminal,4,44,6,low,24,district,0,592
criminal,5,45,10,low,34,magistrate,2,482
civil,2,56,3,high,18,high_court,2,813
civil,4,45,7,high,28,district,1,555
tax,3,56,5,medium,44,magistrate,2,264
civil,4,44,3,high,81,magistrate,1,321
tax,2,41,4,low,3,district,0,434
criminal,3,15,5,low,1,magistrate,3,241
criminal,4,58,5,low,28,magistrate,0,218
criminal,4,35,11,medium,92,magistrate,1,265
civil,4,11,3,low,26,district,0,531
civil,6,37,4,medium,16,district,0,463
criminal,3,37,7,low,20,magistrate,2,232
civil,4,88,5,high,95,magistrate,0,468
civil,4,60,4,low,0,supreme,1,1182
labor,2,40,3,low,42,district,2,538
family,7,56,2,medium,13,district,1,359
criminal,8,62,10,medium,14,supreme,1,1686
civil,2,60,4,low,5,district,0,369
civil,5,46,5,high,26,district,2,612
civil,2,37,1,medium,53,magistrate,1,402
criminal,1,83,8,low,2,district,0,386
tax,2,31,4,medium,38,district,0,486
tax,2,32,5,medium,75,magistrate,0,360
family,4,44,5,medium,24,high_court,0,754
criminal,3,16,7,medium,10,district,3,553
civil,2,48,6,low,25,magistrate,2,266
criminal,2,57,7,medium,54,magistrate,2,500
criminal,3,30,6,medium,20,magistrate,1,341
civil,3,50,7,low,45,high_court,1,751
civil,2,84,0,high,13,district,1,428
family,4,60,3,medium,22,district,1,445
civil,6,49,2,low,49,high_court,4,1001
family,3,19,5,low,25,magistrate,4,336
civil,3,43,1,medium,28,district,1,332
civil,4,53,7,low,39,magistrate,0,230
tax,6,55,6,low,18,supreme,1,1566
civil,3,46,7,low,0,magistrate,1,377
family,4,27,5,low,28,magistrate,2,195
family,6,61,4,medium,22,magistrate,0,316
criminal,6,44,3,low,23,magistrate,1,315
tax,1,39,4,high,1,magistrate,1,438
civil,6,62,8,low,3,magistrate,2,233
civil,5,56,2,medium,28,district,0,288
civil,2,59,3,medium,8,magistrate,1,259
civil,5,58,4,low,20,magistrate,1,224
criminal,2,43,4,medium,82,magistrate,0,257
civil,4,35,4,low,4,district,2,353
tax,6,73,4,low,70,magistrate,0,385
tax,2,37,4,medium,77,high_court,0,999
civil,1,57,3,low,7,magistrate,1,393
civil,4,61,4,low,34,high_court,0,719
civil,3,40,3,low,81,district,1,387
family,5,43,2,medium,11,magistrate,0,104
civil,2,43,4,low,26,magistrate,0,193
criminal,6,31,5,low,47,district,0,402
criminal,4,59,0,high,21,district,2,681
civil,6,67,6,low,37,district,1,385
civil,2,39,3,low,137,magistrate,5,402
criminal,2,50,7,medium,23,magistrate,2,436
civil,2,44,9,medium,13,supreme,1,1346
civil,2,47,3,low,9,district,3,443
civil,3,26,10,low,63,supreme,1,1215
criminal,3,44,4,low,15,magistrate,0,244
labor,6,57,7,medium,79,high_court,0,999
civil,5,29,9,low,10,district,1,416
civil,3,74,7,medium,57,high_court,1,951
criminal,3,23,6,low,80,district,3,531
criminal,7,47,5,low,31,magistrate,4,458
civil,2,44,3,low,3,high_court,1,732
criminal,3,16,4,low,3,magistrate,0,383
labor,3,42,9,medium,78,district,1,664
civil,4,58,5,low,11,magistrate,2,331
civil,5,29,4,low,16,district,1,577
civil,3,36,8,medium,83,magistrate,3,424
labor,4,62,3,low,3,magistrate,1,338
labor,3,22,5,low,31,magistrate,1,356
criminal,4,43,5,low,61,magistrate,0,245
criminal,2,37,6,high,26,district,1,497
tax,3,64,9,medium,8,magistrate,2,336
civil,4,63,7,low,5,district,0,439
tax,6,67,3,low,35,magistrate,0,382
criminal,3,62,4,low,16,district,1,300
civil,7,25,3,low,65,magistrate,2,275
civil,4,80,7,medium,54,district,1,387
criminal,5,36,6,low,42,district,1,473
labor,2,33,7,medium,41,district,3,506
labor,3,54,4,low,35,district,2,519
family,2,48,5,low,29,district,1,328
family,5,17,2,low,12,magistrate,0,254
civil,7,76,4,low,15,district,1,458
civil,6,35,2,low,84,high_court,1,773
civil,2,41,7,low,11,supreme,2,1209
criminal,2,60,4,low,25,district,1,446
civil,5,81,2,low,25,district,0,387
tax,6,47,4,medium,43,district,1,634
civil,4,61,11,medium,3,district,0,302
family,4,34,5,low,48,magistrate,1,428
family,7,60,4,low,20,district,0,427
criminal,4,36,2,high,23,district,4,676
labor,3,59,2,low,1,district,1,455
criminal,2,37,2,low,26,magistrate,2,294
civil,3,54,8,medium,92,district,2,538
family,3,42,6,high,0,high_court,1,701
civil,3,70,7,medium,22,magistrate,3,320
civil,4,19,5,high,32,high_court,0,873
civil,6,57,5,medium,29,magistrate,0,213
civil,3,58,3,low,6,magistrate,2,232
civil,5,31,10,medium,19,magistrate,3,342
criminal,3,67,4,low,9,high_court,1,904
criminal,3,55,9,low,81,district,3,389
civil,3,65,3,medium,11,high_court,2,905
criminal,6,54,4,low,73,district,0,750
criminal,2,50,4,low,33,high_court,0,774
family,7,26,4,high,18,district,0,595
tax,5,52,6,medium,56,district,0,576
civil,10,38,4,low,48,magistrate,1,346
civil,5,51,11,low,21,magistrate,3,385
family,5,61,8,low,0,district,1,409
family,6,43,1,low,6,district,0,262
criminal,3,36,5,low,21,magistrate,3,342
criminal,3,26,5,low,48,district,0,570
criminal,6,70,4,low,27,magistrate,3,337
criminal,5,62,5,low,11,magistrate,2,399
civil,4,45,6,low,38,district,1,398
civil,8,39,2,low,47,magistrate,0,307
criminal,6,62,2,medium,0,district,2,601
family,4,37,3,low,17,district,1,333
criminal,4,42,6,high,6,district,4,640
civil,2,32,7,low,12,district,1,471
family,6,49,5,medium,44,district,0,449
criminal,3,34,4,low,29,high_court,0,793
civil,3,43,4,high,22,district,1,527
civil,2,19,4,low,22,high_court,1,729
civil,2,40,3,high,13,district,0,485
criminal,3,62,5,medium,10,magistrate,4,353
tax,2,8,6,medium,34,district,1,736
tax,3,79,9,low,38,high_court,2,1005
civil,5,54,10,low,39,high_court,0,536
civil,5,37,10,medium,0,magistrate,0,261
family,3,36,5,medium,7,magistrate,2,370
civil,5,44,3,low,1,magistrate,1,263
family,5,51,11,low,18,magistrate,0,189
criminal,4,36,5,medium,1,high_court,0,1036
tax,6,99,2,medium,37,magistrate,1,424
criminal,3,73,5,medium,44,magistrate,0,278
tax,2,35,7,high,39,magistrate,1,379
civil,5,30,5,medium,80,magistrate,0,187
criminal,4,81,5,low,33,district,0,438
civil,3,70,4,medium,28,magistrate,0,165
criminal,4,42,8,low,40,magistrate,1,426
civil,3,30,6,low,28,magistrate,3,368
civil,5,58,2,medium,3,magistrate,2,278
family,4,35,4,low,19,magistrate,0,274
civil,5,48,8,low,2,supreme,2,1231
criminal,3,55,1,low,21,magistrate,0,202
labor,5,49,5,low,11,district,2,342
criminal,5,50,4,low,80,magistrate,1,431
criminal,2,60,3,low,64,magistrate,2,326
civil,3,65,7,high,63,district,1,510
criminal,3,23,4,medium,42,magistrate,1,471
labor,2,20,6,medium,1,district,1,378
criminal,4,56,6,low,61,magistrate,2,275
family,7,44,8,medium,22,high_court,0,814
civil,7,58,10,low,64,magistrate,0,333
family,4,57,6,low,66,high_court,3,801
criminal,7,55,3,low,34,high_court,2,1051
civil,2,51,4,high,9,magistrate,0,283
criminal,2,72,3,low,2,magistrate,1,118
civil,9,58,7,medium,62,high_court,0,795
tax,4,47,7,low,16,district,0,444
civil,9,40,6,low,32,magistrate,1,256
civil,3,71,7,medium,29,supreme,1,1182
civil,6,51,4,medium,13,district,2,460
criminal,5,72,4,low,11,district,0,518
civil,2,39,3,low,33,magistrate,1,259
civil,4,42,7,low,29,district,2,438
civil,1,44,6,high,17,magistrate,2,275
civil,5,52,6,medium,18,magistrate,2,307
labor,3,65,4,low,34,district,1,509
criminal,5,83,9,medium,44,high_court,0,1029
criminal,3,28,2,high,11,magistrate,3,515
tax,6,50,3,medium,39,magistrate,1,417
criminal,3,65,2,high,26,magistrate,0,268
tax,10,57,5,low,27,magistrate,1,473
tax,2,61,1,medium,18,district,1,614
labor,3,40,4,low,61,magistrate,0,77
criminal,3,56,4,low,8,district,2,606
tax,5,54,5,medium,4,district,1,621
tax,3,55,7,low,23,magistrate,3,280
family,3,46,5,low,33,magistrate,0,155
criminal,4,45,9,low,64,high_court,1,949
civil,4,37,7,low,4,district,0,414
family,3,33,5,medium,41,magistrate,0,120
civil,5,36,5,low,80,district,1,359
criminal,6,57,6,high,38,high_court,0,1021
family,5,55,7,low,35,magistrate,0,265
labor,8,47,9,medium,7,district,4,694
family,3,54,5,low,18,magistrate,1,174
civil,6,26,9,low,8,high_court,4,756
civil,1,48,10,low,11,district,1,358
tax,1,33,3,low,44,magistrate,0,205
civil,3,43,10,low,41,magistrate,3,176
civil,4,49,10,medium,16,magistrate,0,263
family,3,56,4,low,4,magistrate,0,292
labor,5,62,8,low,88,magistrate,4,459
tax,6,47,5,low,25,magistrate,0,208
family,2,44,5,high,10,magistrate,0,221
criminal,5,51,3,low,10,district,2,532
criminal,5,69,8,low,50,magistrate,2,325
criminal,1,38,3,low,76,magistrate,1,159
family,3,78,5,medium,26,district,1,358
tax,6,55,4,low,7,district,1,634
civil,7,47,6,low,0,high_court,2,818
civil,4,51,4,medium,38,magistrate,0,237
civil,2,43,3,high,12,district,0,339
criminal,2,51,7,medium,12,magistrate,1,342
civil,3,37,0,high,86,magistrate,2,320
civil,6,44,3,low,16,district,1,338
civil,7,59,2,low,25,magistrate,2,402
criminal,4,23,3,low,14,district,1,458
criminal,2,67,1,low,116,district,2,552
labor,3,72,3,high,64,supreme,2,1586
civil,3,77,4,low,4,magistrate,1,248
criminal,4,40,6,low,1,district,2,495
tax,7,24,5,low,12,high_court,0,979
criminal,6,61,4,medium,5,magistrate,3,508
civil,3,38,5,low,73,high_court,1,876
criminal,5,51,5,medium,1,magistrate,0,331
criminal,3,67,3,low,17,high_court,1,916
criminal,8,55,8,medium,43,district,1,658
family,3,53,6,high,118,supreme,2,1533
civil,3,38,7,medium,25,magistrate,3,330
civil,6,67,5,medium,39,district,0,433
civil,3,48,8,low,0,high_court,3,775
criminal,5,70,8,low,10,district,0,507
criminal,2,58,7,low,20,magistrate,0,30
criminal,4,40,3,medium,64,district,1,384
civil,4,40,5,low,0,magistrate,0,146
civil,7,26,3,low,2,magistrate,0,117
civil,3,38,7,low,8,high_court,2,669
civil,4,55,6,low,32,high_court,1,905
civil,6,40,4,medium,9,magistrate,2,388
civil,5,58,2,high,20,district,0,647
family,3,45,4,low,19,supreme,2,1051
civil,2,32,7,low,42,district,0,317
civil,2,51,4,low,36,supreme,0,1122
tax,4,70,7,medium,6,magistrate,0,226
criminal,4,50,3,low,7,magistrate,2,391
criminal,5,47,9,low,14,district,1,332
civil,6,45,3,medium,9,district,1,363
criminal,5,73,6,low,28,supreme,1,1348
criminal,2,38,1,low,3,magistrate,2,251
criminal,4,39,4,low,17,magistrate,1,323
criminal,4,15,8,low,123,magistrate,0,476
criminal,6,33,6,high,37,district,1,528
civil,3,82,4,low,20,magistrate,2,397
civil,4,87,3,medium,20,magistrate,2,269
criminal,6,59,8,low,106,magistrate,0,318
criminal,5,57,2,low,0,magistrate,1,327
civil,4,64,9,low,13,magistrate,0,304
civil,3,61,7,low,35,magistrate,0,298
family,4,45,2,low,11,district,2,398
civil,3,43,7,low,91,magistrate,2,393
family,4,62,2,low,114,district,1,489
civil,3,59,7,low,6,district,1,402
civil,5,53,4,low,17,high_court,2,905
civil,6,45,4,low,5,district,0,432
civil,5,35,2,low,12,high_court,3,883
civil,4,34,1,low,46,magistrate,1,241
civil,5,59,4,low,21,high_court,0,659
family,5,39,8,low,4,magistrate,2,448
civil,5,61,3,low,20,district,2,409
criminal,5,33,9,low,26,magistrate,1,219
civil,6,43,3,medium,11,magistrate,0,288
civil,3,42,8,low,7,district,0,413
civil,4,58,9,low,4,magistrate,0,230
tax,1,35,7,medium,1,magistrate,2,256
civil,3,47,6,low,7,magistrate,0,151
civil,7,54,4,low,139,district,0,585
family,3,42,7,medium,14,district,1,481
civil,3,51,6,low,13,magistrate,0,263
criminal,6,64,1,high,30,magistrate,0,317
tax,7,46,4,medium,10,district,0,634
criminal,4,42,4,medium,36,magistrate,2,433
civil,4,57,6,medium,1,district,2,609
criminal,3,36,7,low,52,magistrate,0,238
labor,4,47,4,low,24,district,1,458
family,4,30,5,low,59,magistrate,1,316
criminal,7,61,7,low,47,high_court,1,918
criminal,7,47,6,low,6,magistrate,0,368
criminal,3,50,9,low,22,magistrate,0,139
civil,3,49,2,low,1,magistrate,2,350
civil,3,49,7,low,27,district,2,545
criminal,4,9,4,low,32,supreme,2,1385
civil,6,59,7,low,16,district,0,469
civil,1,60,2,low,44,district,0,476
tax,4,19,4,low,1,district,2,670
criminal,3,37,3,medium,33,magistrate,2,378
civil,4,64,6,low,20,supreme,2,1173
labor,4,53,6,low,114,magistrate,1,295
tax,4,58,7,low,12,magistrate,0,357
civil,3,72,4,low,8,magistrate,2,376
civil,7,73,4,low,1,magistrate,1,142
criminal,4,52,11,low,71,district,2,657
criminal,5,53,5,high,7,magistrate,2,355
labor,6,14,2,medium,27,district,3,745
civil,5,50,6,low,41,magistrate,0,404
tax,4,53,8,low,42,district,0,427
criminal,4,58,9,low,23,magistrate,2,437
family,3,35,6,medium,21,district,0,348
labor,8,24,3,medium,10,supreme,3,1445
criminal,3,46,8,low,63,high_court,2,973
criminal,2,47,7,high,6,high_court,1,1132
criminal,3,60,4,low,37,high_court,3,873
civil,4,86,7,high,65,magistrate,0,292
civil,5,34,7,high,6,magistrate,0,254
labor,9,48,10,high,10,magistrate,0,379
tax,5,52,6,medium,1,magistrate,0,315
family,4,72,4,low,5,district,1,372
civil,3,38,8,low,35,magistrate,1,283
civil,3,59,10,low,7,district,1,337
criminal,6,38,6,low,1,magistrate,0,151
civil,3,62,4,high,61,magistrate,2,334
civil,3,83,4,low,32,district,0,350
criminal,2,40,0,low,16,district,0,446
criminal,3,57,6,low,31,district,0,489
labor,3,53,10,low,24,district,1,345
civil,3,27,6,low,135,district,0,532
family,3,34,2,low,81,magistrate,0,128
criminal,6,65,4,low,0,magistrate,2,361
criminal,6,59,5,medium,17,magistrate,3,438
criminal,1,37,2,low,20,high_court,1,684
civil,3,51,3,low,116,magistrate,1,193
tax,3,48,4,low,27,magistrate,0,553
civil,7,46,5,low,16,magistrate,1,264
family,5,53,8,low,11,magistrate,2,398
labor,5,60,3,low,22,magistrate,1,183
criminal,7,56,3,low,1,high_court,1,923
civil,3,72,4,low,24,district,0,401
family,5,74,2,low,7,district,0,554
family,5,57,4,high,58,district,1,588
tax,4,71,5,low,24,magistrate,3,384
civil,4,48,4,high,2,high_court,1,827
family,4,55,8,low,39,magistrate,0,136
civil,6,29,5,medium,3,district,4,553
civil,4,52,0,medium,9,high_court,2,824
civil,4,28,3,high,6,magistrate,1,299
criminal,2,43,3,medium,23,magistrate,2,427
criminal,6,79,5,low,11,high_court,1,939
civil,2,54,5,medium,1,supreme,1,1166
criminal,3,32,2,medium,31,district,0,536
criminal,2,79,9,medium,20,district,0,532
civil,4,40,2,low,3,magistrate,2,371
civil,8,46,1,medium,8,supreme,1,1338
criminal,4,50,4,low,20,magistrate,2,324
civil,3,33,7,low,44,magistrate,3,374
civil,5,51,6,medium,1,supreme,1,1319
family,7,40,5,low,43,magistrate,1,354
tax,2,57,5,low,10,magistrate,1,267
labor,3,73,2,medium,45,magistrate,0,291
labor,4,42,5,low,123,district,0,603
civil,8,40,6,high,36,magistrate,1,530
criminal,3,43,1,low,0,district,1,419
criminal,3,41,2,low,32,district,0,555
civil,7,46,8,low,1,magistrate,1,73
family,4,54,7,low,27,district,1,322
criminal,3,87,7,high,1,supreme,3,1961
civil,2,28,6,medium,26,magistrate,1,271
criminal,6,47,3,high,19,magistrate,2,537
criminal,4,59,5,high,23,district,2,692
criminal,6,27,13,low,91,magistrate,0,290
criminal,6,76,5,medium,40,district,1,519
civil,7,59,3,low,96,magistrate,1,493
criminal,3,89,8,low,14,district,2,665
criminal,3,47,7,low,7,district,1,327
family,4,45,0,medium,11,magistrate,2,317
tax,4,36,8,low,28,district,0,686
civil,4,41,7,high,68,magistrate,3,380
labor,3,12,4,low,7,magistrate,2,286
civil,4,61,9,low,35,magistrate,0,92
criminal,4,33,4,medium,30,magistrate,0,261
tax,4,58,6,low,9,magistrate,1,331
civil,3,56,3,low,19,magistrate,0,298
family,3,63,4,low,43,high_court,0,727
criminal,2,33,8,high,37,district,0,527
criminal,3,73,1,medium,14,magistrate,3,432
civil,6,51,9,medium,19,district,4,641
civil,4,57,7,low,55,magistrate,2,244
criminal,4,42,6,low,28,district,0,615
tax,4,29,3,low,17,magistrate,1,161
tax,5,63,8,low,75,magistrate,3,248
civil,5,58,2,low,21,magistrate,0,145
criminal,3,50,2,low,10,magistrate,1,290
civil,3,52,6,high,30,magistrate,0,354
civil,5,44,5,medium,27,magistrate,0,265
family,3,37,9,medium,50,magistrate,1,345
family,7,41,5,medium,1,district,3,604
tax,6,48,4,medium,32,district,0,604
civil,7,40,4,medium,2,district,2,588
civil,7,45,9,medium,20,district,1,543
criminal,7,27,7,low,26,district,0,477
family,5,49,4,high,51,district,1,556
labor,8,77,1,low,8,high_court,0,831
criminal,4,83,7,low,41,magistrate,0,272
civil,4,38,5,low,11,magistrate,2,453
family,6,53,6,medium,45,high_court,0,750
family,4,43,9,high,2,district,3,504
criminal,3,53,3,low,8,magistrate,1,134
criminal,5,46,3,low,40,magistrate,1,269
civil,4,41,8,high,35,district,1,753
criminal,7,50,8,medium,36,magistrate,0,310
civil,2,61,10,medium,10,magistrate,2,148
tax,4,46,3,medium,19,magistrate,2,484
criminal,5,43,5,medium,1,magistrate,1,373
labor,7,70,2,medium,13,district,1,350
civil,3,31,5,low,28,district,2,349
civil,11,64,5,medium,10,magistrate,1,465
criminal,7,47,11,low,11,magistrate,0,235
criminal,4,63,3,low,26,magistrate,1,316
tax,3,44,5,low,1,magistrate,0,346
labor,3,32,4,medium,114,district,0,542
family,5,51,2,medium,4,district,0,385
civil,2,37,5,low,78,magistrate,3,388
family,2,45,4,low,14,district,2,516
civil,3,38,6,medium,55,district,0,420
criminal,5,75,4,low,21,district,0,541
criminal,2,39,6,medium,21,district,2,540
family,4,33,3,low,69,magistrate,0,77
criminal,5,40,6,low,60,high_court,1,949
criminal,6,39,5,low,106,district,0,510
family,4,64,8,low,36,high_court,1,685
civil,4,63,8,medium,11,district,0,484
family,4,65,1,low,40,magistrate,0,250
civil,3,60,4,medium,39,magistrate,2,431
civil,3,14,2,medium,16,magistrate,0,231
civil,4,31,7,medium,15,district,3,551
criminal,4,48,3,low,32,supreme,0,1448
criminal,3,39,5,low,2,magistrate,2,241
civil,5,48,9,low,9,magistrate,0,142
civil,5,82,2,low,5,high_court,2,746
civil,3,38,7,low,104,supreme,1,1238
criminal,2,63,5,low,13,district,1,468
civil,2,27,1,medium,0,supreme,0,1261
family,3,56,6,low,131,magistrate,0,380
family,5,27,6,low,32,district,0,227
criminal,3,52,6,low,46,district,1,561
criminal,2,49,4,low,2,district,5,654
criminal,4,68,5,low,6,magistrate,1,186
tax,5,64,4,low,27,high_court,0,895
civil,6,48,10,low,109,district,1,567
civil,3,50,7,low,19,district,1,291
criminal,1,38,1,medium,61,district,0,411
labor,8,33,4,low,131,high_court,1,888
civil,6,55,7,high,41,magistrate,1,355
criminal,6,50,1,low,6,magistrate,1,245
civil,5,41,3,low,74,magistrate,1,451
family,4,70,7,high,13,supreme,1,1285
civil,3,53,6,low,26,district,1,409
civil,4,65,2,medium,20,district,2,518
criminal,4,24,2,low,1,district,1,569
criminal,7,43,6,low,17,supreme,1,1504
criminal,5,33,5,low,15,high_court,0,900
civil,9,34,2,medium,80,district,1,501
tax,2,43,2,low,9,supreme,0,1362
civil,6,65,5,low,34,magistrate,2,178
labor,3,31,5,low,44,district,0,436
civil,4,33,5,low,87,magistrate,0,284
criminal,6,57,5,low,10,district,0,537
criminal,4,54,5,low,4,magistrate,1,311
tax,4,33,4,low,13,high_court,1,978
family,6,35,4,medium,14,district,1,591
civil,3,63,4,low,4,district,1,563
family,4,39,5,low,66,district,0,335
civil,2,49,3,low,9,magistrate,2,249
civil,1,54,10,medium,18,district,0,523
criminal,4,51,5,medium,11,supreme,2,1538
civil,4,60,4,high,5,high_court,1,820
civil,4,79,3,medium,0,district,1,340
civil,3,28,6,high,94,magistrate,0,162
criminal,1,40,4,high,22,magistrate,1,331
criminal,3,51,3,low,35,magistrate,2,134
family,3,56,4,medium,2,magistrate,0,187
family,3,48,4,medium,6,magistrate,0,167
criminal,6,72,4,low,0,district,1,636
criminal,4,59,6,low,0,district,1,485
labor,3,57,7,low,37,magistrate,0,88
civil,3,71,4,high,115,district,0,579
criminal,5,82,9,low,2,magistrate,1,522
criminal,6,48,5,high,40,magistrate,1,440
criminal,2,65,8,high,10,high_court,1,1108
criminal,3,43,5,high,31,magistrate,1,230
civil,5,58,8,low,12,magistrate,2,446
labor,3,48,5,low,13,magistrate,1,257
civil,4,35,6,low,33,district,3,330
